'FP1-*SD', 'FP2-*SD', 'F3-*SD', 'F4-*SD', 'C3-*SD', 'C4-*SD', 'P3-*SD', 'P4-*SD', 'O1-*SD', 'O2-*SD', 'F7-*SD', 'F8-*SD', 'T7-*SD', 'T8-*SD', 'P7-*SD', 'P8-*SD', 'FZ-*SD', 'CZ-*SD', 'PZ-*SD'
2.8167,0.300591,0.409812,3.35561,0.872038,0.89564,2.24261,0.930318,0.448835,-1.63582,-0.257479,0.285332,-3.53312,-2.75178,-2.2416,-3.96051,0.814807,1.42723,3.08663
2.49058,0.172561,0.33782,2.53508,0.80208,0.703978,2.19976,0.756615,0.688789,-1.39735,-0.378494,-0.277035,-3.76578,-2.05455,-2.19085,-3.80707,1.01038,1.59437,3.1246
2.06004,0.495509,0.160551,2.0694,0.579033,0.606529,2.02375,0.77797,0.702751,-1.4453,-0.0339844,-0.146804,-3.49258,-1.945,-2.17838,-4.02747,0.906005,1.65649,3.16015
2.03178,1.1737,-0.0954072,2.87226,0.376597,0.269591,1.88119,0.78165,0.46378,-1.40072,0.268282,0.0256622,-3.08599,-1.95771,-2.41543,-4.13879,0.7055,1.49674,3.16796
1.67496,0.910563,0.378203,2.34132,0.132228,0.589683,1.59442,1.0058,0.281772,-1.03425,-0.0189812,-0.44823,-1.70664,-2.73863,-2.28152,-3.43102,0.82318,1.27902,2.95611
2.20731,0.776209,1.43278,1.77039,0.94048,0.731113,2.13998,1.13997,0.266947,-0.973117,0.918734,-0.436106,-4.87328,-2.83107,-1.59357,-3.103,0.837041,1.12044,2.84744
2.10789,0.662192,1.13717,1.98244,0.974855,0.354233,1.84086,1.09106,-0.0929448,-0.968032,0.291201,-0.132155,-3.8656,-2.2554,-1.49929,-2.99234,0.744448,0.872862,2.61186
1.92338,0.671631,1.66355,1.79566,0.995253,0.259384,1.76996,0.830531,-0.311321,-1.09242,0.191267,0.2617,-3.18226,-1.93364,-1.65964,-2.71515,0.722462,0.59248,2.38147
1.86317,0.473984,1.58989,2.26714,0.732287,0.384079,1.56279,0.780967,-0.285392,-0.935018,0.0983796,0.0629898,-2.39027,-2.26657,-1.50964,-2.36693,0.82904,0.442239,2.01108
1.79502,0.779114,1.45467,2.45303,0.921528,0.171035,1.23308,0.597722,-0.233206,-0.868921,0.0192237,0.00679545,-2.14758,-2.37135,-1.20334,-2.19086,0.65356,0.472819,1.68187
1.53627,0.6646,1.36879,2.12399,1.23014,0.581634,1.10044,0.600234,-0.142633,-0.916894,0.311576,0.277513,-2.39366,-2.84336,-0.955216,-2.25852,0.904951,0.503274,1.3672
1.55635,0.883178,1.31236,2.25318,1.45345,0.389169,1.00876,0.362423,-0.0851016,-0.795604,0.376778,0.162212,-2.87157,-2.52132,-0.579948,-2.2081,1.04396,0.41585,1.23163
1.43035,0.805696,1.05925,2.05665,1.34545,0.415972,0.85674,0.243572,-0.237406,-0.859331,0.235792,0.151852,-2.48644,-1.90557,-0.745199,-2.1386,1.1169,0.554396,1.05526
1.74839,1.01651,1.0119,2.44536,1.13451,0.580555,0.793103,0.172037,-0.316459,-0.780609,0.61154,0.134574,-2.82166,-1.99542,-0.873511,-2.07585,0.955433,0.681078,0.892466
1.69224,1.10354,1.16801,2.80147,0.990467,0.936689,0.492155,0.173734,-0.439114,-0.566752,0.828916,0.0513415,-2.2288,-2.54596,-1.04366,-1.70286,0.825878,0.827484,0.539031
1.33871,1.30399,1.2017,2.13971,0.49775,1.05491,0.272588,0.123289,-0.482868,-0.362888,1.01832,0.193575,-2.03644,-2.68406,-1.068,-1.27985,0.873725,0.996736,0.278175
1.30264,0.636766,0.884628,2.02106,0.283445,0.836806,-0.0333481,-0.147623,-0.408603,-0.045451,1.04108,-0.0224842,-1.73599,-1.66289,-0.982105,-0.652156,0.828947,1.04958,-0.255223
1.21774,0.668067,0.521016,1.89421,0.0341254,0.696122,-0.471462,-0.278154,-0.403596,0.240277,0.872351,-0.110747,-1.00272,-0.976837,-0.959586,-0.264573,0.590953,0.908997,-0.793046
